id,village_id,block_id,district_id,latitude,longitude,address_text,source_id,confidence,geometry,data_status
LOC-VIL-035366,VIL-PB-035366,BLK-MUK-079,DST-MUK,30.5166,74.4801,"Dhigana Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4801 30.5166),official
LOC-VIL-035367,VIL-PB-035367,BLK-MUK-079,DST-MUK,30.526,74.4726,"Chak Duhewala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4726 30.526),official
LOC-VIL-035371,VIL-PB-035371,BLK-MUK-079,DST-MUK,30.4388,74.4977,"Chak Tamkot Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4977 30.4388),official
LOC-VIL-035373,VIL-PB-035373,BLK-MUK-079,DST-MUK,30.5435,74.5126,"Khunde Halal Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5126 30.5435),official
LOC-VIL-035376,VIL-PB-035376,BLK-MUK-079,DST-MUK,30.5252,74.561,"Mahan Bhaddar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.561 30.5252),official
LOC-VIL-035377,VIL-PB-035377,BLK-MUK-079,DST-MUK,30.4213,74.5772,"Chak Mahan Bhaddar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5772 30.4213),official
LOC-VIL-035378,VIL-PB-035378,BLK-MUK-079,DST-MUK,30.441,74.4722,"Bhagsar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4722 30.441),official
LOC-VIL-035379,VIL-PB-035379,BLK-MUK-079,DST-MUK,30.4795,74.5207,"Chibranwali Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5207 30.4795),official
LOC-VIL-035380,VIL-PB-035380,BLK-MUK-079,DST-MUK,30.5039,74.6131,"Chak Chibranwali Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.6131 30.5039),official
LOC-VIL-035381,VIL-PB-035381,BLK-MUK-079,DST-MUK,30.5221,74.5046,"Gander Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5046 30.5221),official
LOC-VIL-035382,VIL-PB-035382,BLK-MUK-079,DST-MUK,30.4948,74.4526,"Nandgarh Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4526 30.4948),official
LOC-VIL-035383,VIL-PB-035383,BLK-MUK-079,DST-MUK,30.5164,74.5438,"Samewali Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5438 30.5164),official
LOC-VIL-035384,VIL-PB-035384,BLK-MUK-079,DST-MUK,30.4516,74.6051,"Lakhewali Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.6051 30.4516),official
LOC-VIL-035385,VIL-PB-035385,BLK-MUK-079,DST-MUK,30.4331,74.4785,"Madrasa Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4785 30.4331),official
LOC-VIL-035386,VIL-PB-035386,BLK-MUK-079,DST-MUK,30.436,74.5636,"Chak Madrasa Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5636 30.436),official
LOC-VIL-035387,VIL-PB-035387,BLK-MUK-079,DST-MUK,30.4691,74.525,"Ramgarh Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.525 30.4691),official
LOC-VIL-035388,VIL-PB-035388,BLK-MUK-079,DST-MUK,30.4881,74.5008,"Akalgarh Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5008 30.4881),official
LOC-VIL-035389,VIL-PB-035389,BLK-MUK-079,DST-MUK,30.4841,74.4525,"Chak Badhai Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4525 30.4841),official
LOC-VIL-035390,VIL-PB-035390,BLK-MUK-079,DST-MUK,30.4068,74.6064,"Badhai Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.6064 30.4068),official
LOC-VIL-035391,VIL-PB-035391,BLK-MUK-079,DST-MUK,30.4038,74.4309,"Maur Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4309 30.4038),official
LOC-VIL-035392,VIL-PB-035392,BLK-MUK-079,DST-MUK,30.4986,74.4423,"Ballamgarh Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4423 30.4986),official
LOC-VIL-035393,VIL-PB-035393,BLK-MUK-079,DST-MUK,30.4728,74.5529,"Rohurianwali Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5529 30.4728),official
LOC-VIL-035394,VIL-PB-035394,BLK-MUK-079,DST-MUK,30.5064,74.5817,"Goniana Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5817 30.5064),official
LOC-VIL-035395,VIL-PB-035395,BLK-MUK-079,DST-MUK,30.4113,74.5286,"Rupana Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5286 30.4113),official
LOC-VIL-035396,VIL-PB-035396,BLK-MUK-079,DST-MUK,30.4319,74.4362,"Bhullar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4362 30.4319),official
LOC-VIL-035397,VIL-PB-035397,BLK-MUK-079,DST-MUK,30.5031,74.4969,"Barkandi Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4969 30.5031),official
LOC-VIL-035398,VIL-PB-035398,BLK-MUK-079,DST-MUK,30.4139,74.4332,"Muktsar(Rural) Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4332 30.4139),official
LOC-VIL-035399,VIL-PB-035399,BLK-MUK-079,DST-MUK,30.4561,74.5607,"Bir Sarkar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5607 30.4561),official
LOC-VIL-035400,VIL-PB-035400,BLK-MUK-079,DST-MUK,30.5576,74.4422,"Sangu Dhaun Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4422 30.5576),official
LOC-VIL-035401,VIL-PB-035401,BLK-MUK-079,DST-MUK,30.5465,74.5229,"Thandewala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5229 30.5465),official
LOC-VIL-035402,VIL-PB-035402,BLK-MUK-079,DST-MUK,30.4833,74.5866,"Kotli Sangar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5866 30.4833),official
LOC-VIL-035403,VIL-PB-035403,BLK-MUK-079,DST-MUK,30.4256,74.4384,"Charewan Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4384 30.4256),official
LOC-VIL-035404,VIL-PB-035404,BLK-MUK-079,DST-MUK,30.54,74.4692,"Ude Karan Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4692 30.54),official
LOC-VIL-035405,VIL-PB-035405,BLK-MUK-079,DST-MUK,30.5102,74.4519,"Chauntra Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4519 30.5102),official
LOC-VIL-035406,VIL-PB-035406,BLK-MUK-079,DST-MUK,30.4607,74.4864,"Mar Mallu Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4864 30.4607),official
LOC-VIL-035407,VIL-PB-035407,BLK-MUK-079,DST-MUK,30.422,74.5132,"Bura Gujjar Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5132 30.422),official
LOC-VIL-035408,VIL-PB-035408,BLK-MUK-079,DST-MUK,30.5196,74.5061,"Kotli Dewan Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5061 30.5196),official
LOC-VIL-035409,VIL-PB-035409,BLK-MUK-079,DST-MUK,30.545,74.4373,"Lambi Dhab Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4373 30.545),official
LOC-VIL-035410,VIL-PB-035410,BLK-MUK-079,DST-MUK,30.401,74.4987,"Chak Lambi Dhab Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.4987 30.401),official
LOC-VIL-035411,VIL-PB-035411,BLK-MUK-079,DST-MUK,30.4116,74.5248,"Saddarwala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5248 30.4116),official
LOC-VIL-035412,VIL-PB-035412,BLK-MUK-079,DST-MUK,30.4752,74.5104,"Chak Attari Saddarwala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5104 30.4752),official
LOC-VIL-035413,VIL-PB-035413,BLK-MUK-079,DST-MUK,30.5575,74.5084,"Fattanwala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5084 30.5575),official
LOC-VIL-035414,VIL-PB-035414,BLK-MUK-079,DST-MUK,30.5329,74.5205,"Attari Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5205 30.5329),official
LOC-VIL-035415,VIL-PB-035415,BLK-MUK-079,DST-MUK,30.468,74.5995,"Chak Kala Singhwala Village, Muktsar Block, Sri Muktsar Sahib, Punjab, India",SRC-GOI-CENSUS-2011,0.98,SRID=4326;POINT(74.5995 30.468),official
