id,product_id,location_id,district_id,market_id,unit,price,min_price,max_price,currency,price_date,price_scope,source_id,confidence,notes,data_status
PRC-WHEAT-KHA-2026,PRD-GRAIN-WHEAT,LOC-MKT-KHANNA,DST-LDH,MKT-KHANNA,quintal,2425.0,2350.0,2550.0,INR,2026-02-28,market,SRC-PB-MANDI-AGMARK,0.98,Modal wholesale price reported at Khanna APMC Mandi.,official
PRC-WHEAT-JAG-2026,PRD-GRAIN-WHEAT,LOC-MKT-JAGRAON,DST-LDH,MKT-JAGRAON,quintal,2410.0,2320.0,2510.0,INR,2026-02-28,market,SRC-PB-MANDI-AGMARK,0.98,Daily modal auction arrival price at Jagraon APMC.,official
PRC-ATTA-RETAIL-LDH,PRD-FLOUR-ATTA,LOC-MKT-LDH-DANA,DST-LDH,MKT-LDH-DANA,kg,36.0,32.0,42.0,INR,2026-02-25,district,SRC-GRAMVEST-CURATED,0.92,Retail benchmark for premium chakki atta in Ludhiana peri-urban outlets.,verified
PRC-MILK-COW-FARMGATE,PRD-MILK-RAW-COW,LOC-VIL-033886,DST-LDH,MKT-JAGRAON,liter,38.5,35.0,42.0,INR,2026-02-20,local,SRC-PB-DAIRY-BOARD,0.95,Cooperative farmgate base rate for 3.8% Fat / 8.5% SNF cow milk in Ludhiana rural societies.,official
PRC-MILK-BUF-FARMGATE,PRD-MILK-RAW-BUF,LOC-VIL-033886,DST-LDH,MKT-JAGRAON,liter,54.0,49.0,58.0,INR,2026-02-20,local,SRC-PB-DAIRY-BOARD,0.95,Cooperative farmgate procurement rate for buffalo milk (6.5% Fat).,official
PRC-PANEER-WHOLESALE,PRD-DAIRY-PANEER,LOC-MKT-LDH-DANA,DST-LDH,MKT-LDH-DANA,kg,330.0,310.0,360.0,INR,2026-02-22,district,SRC-GRAMVEST-CURATED,0.9,"Wholesale bulk rate to confectioners, caterers, and restaurants.",verified
PRC-SERV-ROTAVATOR-HR,PRD-SERV-CUSTOM-HIRE,LOC-VIL-033886,DST-LDH,MKT-JAGRAON,hour,850.0,750.0,950.0,INR,2026-02-15,local,SRC-NABARD-PLP-LDH,0.92,NABARD PLP benchmark hourly rental for 50 HP tractor with rotavator.,verified
PRC-FEED-CATTLE-BAG,PRD-FEED-CATTLE,LOC-VIL-033886,DST-LDH,MKT-JAGRAON,kg,24.5,22.0,28.0,INR,2026-02-10,district,SRC-PB-DAIRY-BOARD,0.94,Pelleted high-protein concentrate cattle feed wholesale price.,official
PRC-WHEAT-MUK-2026,PRD-GRAIN-WHEAT,LOC-MKT-MUKTSAR,DST-MUK,MKT-MUKTSAR,quintal,2390.0,2300.0,2480.0,INR,2026-02-28,market,SRC-PB-MANDI-AGMARK,0.98,Daily auction modal wheat price at Sri Muktsar Sahib APMC Mandi.,official
PRC-COTTON-MAL-2026,PRD-GRAIN-WHEAT,LOC-MKT-MALOUT,DST-MUK,MKT-MALOUT,quintal,7200.0,6800.0,7500.0,INR,2026-02-28,market,SRC-PB-MANDI-AGMARK,0.98,Medium staple raw cotton modal price at Malout Mandi.,official
