id,name,state_id,district_id,block_id,census_code,latitude,longitude,geometry,source_id,source_year,source_url,confidence,data_status
VIL-PB-035366,Dhigana,ST-PB,DST-MUK,BLK-MUK-079,35366,30.5166,74.4801,SRID=4326;POINT(74.4801 30.5166),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035367,Chak Duhewala,ST-PB,DST-MUK,BLK-MUK-079,35367,30.526,74.4726,SRID=4326;POINT(74.4726 30.526),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035371,Chak Tamkot,ST-PB,DST-MUK,BLK-MUK-079,35371,30.4388,74.4977,SRID=4326;POINT(74.4977 30.4388),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035373,Khunde Halal,ST-PB,DST-MUK,BLK-MUK-079,35373,30.5435,74.5126,SRID=4326;POINT(74.5126 30.5435),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035376,Mahan Bhaddar,ST-PB,DST-MUK,BLK-MUK-079,35376,30.5252,74.561,SRID=4326;POINT(74.561 30.5252),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035377,Chak Mahan Bhaddar,ST-PB,DST-MUK,BLK-MUK-079,35377,30.4213,74.5772,SRID=4326;POINT(74.5772 30.4213),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035378,Bhagsar,ST-PB,DST-MUK,BLK-MUK-079,35378,30.441,74.4722,SRID=4326;POINT(74.4722 30.441),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035379,Chibranwali,ST-PB,DST-MUK,BLK-MUK-079,35379,30.4795,74.5207,SRID=4326;POINT(74.5207 30.4795),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035380,Chak Chibranwali,ST-PB,DST-MUK,BLK-MUK-079,35380,30.5039,74.6131,SRID=4326;POINT(74.6131 30.5039),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035381,Gander,ST-PB,DST-MUK,BLK-MUK-079,35381,30.5221,74.5046,SRID=4326;POINT(74.5046 30.5221),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035382,Nandgarh,ST-PB,DST-MUK,BLK-MUK-079,35382,30.4948,74.4526,SRID=4326;POINT(74.4526 30.4948),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035383,Samewali,ST-PB,DST-MUK,BLK-MUK-079,35383,30.5164,74.5438,SRID=4326;POINT(74.5438 30.5164),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035384,Lakhewali,ST-PB,DST-MUK,BLK-MUK-079,35384,30.4516,74.6051,SRID=4326;POINT(74.6051 30.4516),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035385,Madrasa,ST-PB,DST-MUK,BLK-MUK-079,35385,30.4331,74.4785,SRID=4326;POINT(74.4785 30.4331),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035386,Chak Madrasa,ST-PB,DST-MUK,BLK-MUK-079,35386,30.436,74.5636,SRID=4326;POINT(74.5636 30.436),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035387,Ramgarh,ST-PB,DST-MUK,BLK-MUK-079,35387,30.4691,74.525,SRID=4326;POINT(74.525 30.4691),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035388,Akalgarh,ST-PB,DST-MUK,BLK-MUK-079,35388,30.4881,74.5008,SRID=4326;POINT(74.5008 30.4881),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035389,Chak Badhai,ST-PB,DST-MUK,BLK-MUK-079,35389,30.4841,74.4525,SRID=4326;POINT(74.4525 30.4841),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
VIL-PB-035390,Badhai,ST-PB,DST-MUK,BLK-MUK-079,35390,30.4068,74.6064,SRID=4326;POINT(74.6064 30.4068),SRC-GOI-CENSUS-2011,2011,https://censusindia.gov.in/,0.98,official
