id,source_name,source_type,publisher,source_url,publication_date,retrieved_at,source_year,license,description,notes,data_status
SRC-GOI-CENSUS-2011,Census of India 2011 - Primary Census Abstract Punjab,census,"Office of the Registrar General & Census Commissioner, India",https://censusindia.gov.in/census.website/data/census-tables,2013-04-30,2026-03-01T10:00:00Z,2011,Government Open Data License - India (GODL),"Primary demographic, worker classification, and literacy data for Punjab villages and towns. Explicitly labeled 2011.",Historical benchmark. Never label as current population.,official
SRC-GOI-MSME-PMEGP,Prime Minister's Employment Generation Programme (PMEGP) Operational Guidelines,official_government,"Ministry of Micro, Small & Medium Enterprises / KVIC",https://www.kviconline.gov.in/pmegpeportal/pmegphome/index.jsp,2022-05-13,2026-03-01T10:00:00Z,2022,Public Domain / Official Government Policy,Credit-linked subsidy scheme offering 15-35% subsidy for micro enterprises with capex up to Rs 50 Lakhs (mfg) / Rs 20 Lakhs (services).,Version 2.0 updated in May 2022 enhancing project cost limits.,official
SRC-GOI-MOFPI-PMFME,PM Formalisation of Micro food processing Enterprises (PMFME) Scheme Guidelines,official_government,"Ministry of Food Processing Industries, Government of India",https://pmfme.mofpi.gov.in/,2021-01-15,2026-03-01T10:00:00Z,2021,Public Domain / Official Government Policy,Centrally sponsored scheme providing 35% credit-linked capital subsidy up to Rs 10 Lakhs for micro food processing enterprises.,Active under Atmanirbhar Bharat Abhiyan.,official
SRC-GOI-DAHD-AHIDF,Animal Husbandry Infrastructure Development Fund (AHIDF) Guidelines,official_government,"Department of Animal Husbandry and Dairying, Ministry of FAHD, GoI",https://ahidf.udyamimitra.in/,2020-07-20,2026-03-01T10:00:00Z,2020,Public Domain / Official Government Policy,"Financial support for dairy processing, value addition infrastructure and animal feed plants. 3% interest subvention, up to 90% loan.",Credit guarantee up to 25% under CGFTAH managed by NABSanrakshan.,official
SRC-GOI-PMMY-MUDRA,Pradhan Mantri MUDRA Yojana (PMMY) Policy Framework,official_government,"MUDRA Ltd. / Department of Financial Services, Ministry of Finance",https://www.mudra.org.in/,2024-07-23,2026-03-01T10:00:00Z,2024,Public Domain / Official Government Policy,"Non-corporate, non-farm small/micro enterprises loans: Shishu (up to 50k), Kishore (50k-5L), Tarun (5L-10L), and Tarun Plus (10L-20L under Union Budget 2024).",Collateral-free micro finance facility.,official
SRC-PB-MANDI-AGMARK,AGMARKNET Daily Mandi Commodity Inward & Price Data - Punjab Mandis,official_market_data,"Directorate of Marketing & Inspection (DMI), Ministry of Agriculture & Farmers Welfare",https://agmarknet.gov.in/,2026-02-28,2026-03-01T10:00:00Z,2026,Government Open Data License - India (GODL),"Daily arrival and wholesale modal, min, max price reports from APMC Mandis including Khanna, Ludhiana, Jagraon, Amritsar, Bathinda.","Primary benchmark for agricultural commodities, grains, and agro-inputs.",official
SRC-PB-DAIRY-BOARD,Punjab Dairy Development Board & Milkfed Cooperative Farmgate Pricing Circular,official_government,"Department of Animal Husbandry, Fisheries and Dairy Development, Govt of Punjab",https://dairy.punjab.gov.in/,2025-11-10,2026-03-01T10:00:00Z,2025,Official Punjab Government Release,Procurement milk fat/SNF pricing rates and small dairy unit capital equipment specifications in Punjab.,Verifiable baseline for cow/buffalo raw milk farmgate pricing.,official
SRC-RBI-BENCHMARK-2026,Reserve Bank of India Monetary Policy & Priority Sector Lending Master Directions,bank,Reserve Bank of India,https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx,2025-12-08,2026-03-01T10:00:00Z,2025,Official Regulatory Notice,"Benchmark repo rate (6.50%), PSL guidelines for micro-enterprises and agriculture lending, MCLR spread norms.",Authoritative base for commercial interest rate modeling.,official
SRC-NABARD-PLP-LDH,NABARD Potential Linked Credit Plan (PLP) - Ludhiana District (2024-2026),research_report,National Bank for Agriculture and Rural Development (NABARD),https://www.nabard.org/plp-guide.aspx,2024-03-31,2026-03-01T10:00:00Z,2024,Institutional Public Report,"Sector-wise credit potential, unit costs for farm mechanization, agro-processing models, and allied activities in Ludhiana.",Key model parameters for dairy and custom hiring center unit capital costs.,verified
SRC-OSM-PUNJAB-POI,OpenStreetMap Commercial POI & Retail Infrastructure Data - Punjab,osm,OpenStreetMap Contributors / Geofabrik GmbH,https://www.openstreetmap.org/,2026-01-15,2026-03-01T10:00:00Z,2026,Open Data Commons Open Database License (ODbL),"Geo-located businesses, workshops, flour mills, and market centers in rural and peri-urban Punjab.",Indicates identified public map presences. Coverage note: does not claim exhaustive census of unmapped informal shops.,verified
SRC-VEND-EQUIP-REF,Punjab Agro-Machinery & Dairy Equipment Certified Vendor Quotes Repository,vendor_reference,Ludhiana Machinery Manufacturers Association / Industry Benchmark,https://punjabagrimachinery.example.org/benchmarks,2025-10-01,2026-03-01T10:00:00Z,2025,Curated Industry Reference,"Triangulated commercial price quotes for bulk milk coolers (BMC), commercial atta chakki pulverizers, rotavators, and laser land levelers.",Triangulated min/typical/max pricing derived from 3 reputable Ludhiana manufacturers.,verified
SRC-GRAMVEST-CURATED,GramVest Research Domain Knowledge & Expert Rule Base,curated,GramVest Data Architecture Team,https://gramvest.org/data-provenance,2026-03-01,2026-03-01T10:00:00Z,2026,Proprietary Project Data / Open for Evaluation,"Deterministic scoring matrices, risk taxonomy, opportunity conditions, and standardized cost-revenue template relationships.",Carefully constructed rule set for financial projections and risk mitigation.,curated
